row_no,headline,body_text,class
46,Everton make enquiry for Barcelona's unwanted striker Paco Alcácer,"Barcelona are stepping up their efforts to move on unwanted players ahead of making key additions to the squad this summer. The club has already sold Gerard Deulofeu and have offers on the table for Yerry Mina and Paulinho, although the objective is to get rid of those Ernesto Valverde doesn't want first. One of those is Paco Alcacer, whose future is up in the air following the failed attempt by the club to sign Antoine Griezmann. Everton are the last team to enquire about Mina, but also asked about Alcacer. They wanted the striker back in January and could bid for him now. Barcelona's idea is to sell Alcacer if they receive a good offer for him. The objective is to recoup as much of the €30m they invested in him two seasons ago. Alcacer is well liked in the Premier League and his asking price is within most English sides' budgets. Everton now have all the information they need and must decide whether to make a bid or not. In fact, Barcelona are set to meet with Alcacer's representatives next week. They are going to examine all the possible options available to the striker and let him know that he isn't part of their plans. In January, Alcacer refused to leave Barcelona. For the player it's important he choses another promising project and one where he doesn't need to reduce his wage. Everton, for now, have shown their interest in him.",FALSE
47,Tottenham transfer news: Jack Grealish 'expected' to sign for Spurs amid latest transfer links,"Jack Grealish is reportedly 'expected' to sign for Tottenham once a transfer fee is agreed with crisis-hit Aston Villa. The Villans are currently struggling with debt issues and in desperate need to raise funds, something Spurs chairman Daniel Levy is understood to be planning to take advantage of. Birmingham Live are reporting that Spurs are now the only side with serious interest in Grealish, but are yet to make a formal offer. Villa value the youngster at £30m, but Tottenham only intend to pay half that amount. Grealish has flown to Portugal and is currently taking part in a pre-season training camp with Steve Bruce's side. However he is said to be fully aware of Mauricio Pochettino's interest and has made no efforts to rule out a potential summer switch.",FALSE
49,Manchester United close in on Willian transfer after Brazil's exit from World Cup,"MANCHESTER UNITED believe they will land Willian now Brazil are out of the World Cup. Boss Jose Mourinho made the Chelsea winger his No 1 summer target and is competing with Barcelona to seal a £60million deal. United are ready to step up their bid to reunite Willian, 29, with Mourinho after the duo worked together at the Blues. The Samba star would be the second Brazilian to arrive at Old Trafford this summer after the capture of £52m midfielder Fred from Shakhtar Donetsk. Willian vowed to focus on the World Cup and look at his future after returning from Russia. But Brazil were dumped out on Friday as they lost 2-1 to Belgium in the quarter-final. His future is now the focus after five years at Stamford Bridge, where he has won the Premier League title twice and both domestic cups. Mourinho believes Willian will add an edge to his attack having lost faith in Anthony Martial last term. United's cross-city rivals City, meanwhile, plan to delve into their academy next season, with boss Pep Guardiola promoting Daniel Grimshaw to the seniors. The keeper, 20, would City's third-choice behind Ederson and Claudio Bravo — with England Under-21 Angus Gunn going out on loan and Joe Hart allowed to leave.",FALSE
51,Manchester United preparing Harry Maguire bid with transfer deadline looming,"Manchester United are preparing to make a bid for Harry Maguire before the Premier League transfer window closes on Thursday, according to Sky sources. The Leicester and England defender is believed to be Jose Mourinho's top target as he looks to put the finishing touches to his side ahead of the new season. United are understood to be aware that they will have to pay a new world-record fee for a defender if they want to take the 25-year-old from the King Power Stadium, however. The current record is the £75m Liverpool paid to sign Virgil van Dijk from Southampton earlier this year. If United are unable to complete a deal for Maguire, Mourinho's list of alternatives at centre-half is believed to include Toby Alderweireld and Yerry Mina. Manchester United's first game of the Premier League season is against Leicester on Friday, live on Sky Sports. Get the dedicated Sky Sports Premier League channel to watch 126 live games next season. Find out more .",FALSE
54,'Please lock him in the dressing room!' – Liverpool fans worried about losing Mohamed Salah to Real Madrid following Ronaldo transfer,"Cristiano Ronaldo completed a stunning transfer to Juventus on Tuesday afternoon, leaving fans of a number of Europe's biggest clubs terrified. Los Blancos need to sign a replacement for their departed star, who left the Bernabeu after nine years of world class service. Paris Saint-German duo Neymar and Kylian Mbappe are rumoured to be high on Real's transfer shortlist, while Eden Hazard, the Chelsea forward, and Mohamed Salah of Liverpool are also known targets. Salah, the Egypt international, penned a new contract with Liverpool earlier this month on the back of the best debut season in Premier League history, and perhaps the best campaign enjoyed by any player since the top flight was rebranded in 1992. He scored a remarkable 44 goals in 52 appearances in all competitions, as Liverpool reached the Champions League final , while he was also named PFA Player of the Year and FWA Footballer of the Year. Understandably, Salah earned admiration from across Europe, and now might be the time Real turn their interest into a formal bid for the superstar. This has caused concern amongst the Anfield faithful, who do not want to see another key player make the move from Merseyside to Spain after Luis Suarez and Philippe Coutinho joined Barcelona in recent years. Liverpool's supporters took to Twitter to discuss Ronaldo's move potentially leading to Salah's exit, and we collect a selection of the best reaction below… @LFC please lock Mo Salah in the dressing room https://t.co/NxqnCKe7ny — a rockstar nje (@UnrulyKeamo) July 10, 2018 I hope it not means Mane or Salah goes to Madrid now that Ronaldo is of to Juve !! I woulde not make it!! #lfc #ynwa — johan wennberg (@gnidan22) July 10, 2018 The relief that Salah signed a new contract right before Real Madrid needs to find a winger.😌 — Anton Norén (@antonnooren) July 10, 2018 So Real Madrid are missing a talisman and armed with £105m? Hide Mane, Salah and Firmino. Change their name/ fake injuries, the lot https://t.co/SkB4V71cG5 — . (@FourFourOnGlue) July 10, 2018 Salah or Mane be going to Real looks like, a big thunder coming our way #LFC — Raz,LFC (@raz2fast) July 10, 2018 Live from Melwood as news breaking that Cristiano Ronaldo is indeed leaving Real Madrid. #LFC pic.twitter.com/qmunTj3JcS — Dennis Carlsson🇸🇪🔴📎 (@11DennisC) July 10, 2018 Hopefully Liverpool can ignore any sort of contact by Real Madrid for our front 3 🤞🏼🤞🏼 — Matt (@_lGiddy) July 10, 2018 Never thought he would leave Madrid to go there. Watch this start a massive transfer merry go round. Mane and Salah will have some of our fans flapping now. https://t.co/CyrCUBxqY2 — Frannyjc (@frannyjc) July 10, 2018 @PeterMooreLFC HIDE SALAH! DONT ANSWER THE PHONE IF ITS A MADRID DIAL CODE! — Jordan Gaynor (@JordanGaynor) July 10, 2018 Ronaldo is official , hide Salah now , ffs — JCunha 🇵🇹🇵🇹 (@JCunha031) July 10, 2018",FALSE
55,"Harry Kane could join Real Madrid if Gareth Bale replaces him at Tottenham Hotspur, says Adrian Durham","Harry Kane could well leave Tottenham Hotspur, but only if Real Madrid consider a swap deal for Gareth Bale. That's according to talkSPORT's very own Adrian Durham, who was reacting to the news Cristiano Ronaldo is to join Juventus. The Portuguese captain will join the Serie A side in a £99million move after Los Blancos accepted the monster bid for his services. With one superstar set to leave, speculation as to who could replace Ronaldo has already begun to intensify, with Kane unsurprisingly near the top of the list. The England captain is one of the deadliest marksmen in Europe and Durham believes a deal could be done this summer. He said: ""If Real Madrid come in with a massive bid, it's not inconceivable Spurs fans – there is nothing in the law that says he has to stay at Spurs forever. ""So if Real Madrid come in with this massive bid, it might not even be about money, it might be about; 'Hang on a minute, I have the got the chance to be an absolute legend, look at Bale, at a football club with the history that Real Madrid have got.' ""Real Madrid could dominate over Barcelona, that hasn't happened in a while, certainly not in LaLiga."" Spurs have a history of working with the Champions League holders, having signed Rafael van der Vaart from them in a surprising deal back in 2010. However, they have also allowed superstars to swap north London for the Bernabeu in the past. After Luka Modric left in 2012, Gareth Bale joined Real the following summer and could well be on the move again. The Wales international has often been linked with moves away from Spain , despite playing a pivotal role in all three of the club's recent Champions League victories. When asked if he could see swap deal happening with Bale, Durham replied: ""I do yeah. ""That could be part of the deal, the Bale thing. ""Swap Bale and £150million or something like that and, you never know, Spurs may well suddenly be more positive about that deal."" ✅ Ronaldo to Juventus 🤔 Kane to Real Madrid? @talkSPORTDrive thinks the deal could happen this summer! #WorldCup | #TSWorldCup pic.twitter.com/TQ5RXxP0w6 — talkSPORT (@talkSPORT) July 10, 2018",FALSE
57,Real Madrid and Juventus agree £105m Cristiano Ronaldo deal,"Juventus and Real Madrid have agreed a deal for Cristiano Ronaldo worth in the region of £105m, according to Sky sources. It is believed that progress on the deal means an official announcement could be made as soon as Tuesday. Juventus president Andrea Agnelli was at Ronaldo's hotel in Greece on Tuesday as discussions continued over the move. At the same time, Ronaldo's agent Jorge Mendes was believed to be meeting Real Madrid. The five-time Ballon d'Or winner has been at Real for nine seasons after joining from Manchester United for a then world-record fee of £80m. Ronaldo has gone on to become the club's all-time top scorer with 451 goals for Los Merengues. As well as the individual records, Ronaldo has also added two La Liga titles, two Copa del Reys and four Champions Leagues to his trophy collection during his time in Spain.",TRUE
58,Riyad Mahrez undergoes Manchester City medical ahead of £60m move,"Riyad Mahrez is undergoing a medical at Manchester City ahead of a move from Leicester, Sky Sports News understands. Leicester will receive around £60m for the Algerian, according to Sky sources - some way short of the Foxes' £80m January asking price. Mahrez was the subject of four failed bids from Manchester City in the mid-season transfer window and after a move to the Etihad did not materialise he missed training for over a week , with the Algeria international forced to deny going AWOL. The Premier League champions have remained keen on Mahrez, who scored 13 goals in 41 appearances for Leicester last season. A deal for Mahrez would make him City's record signing at £60m ahead of defender Aymeric Laporte, who signed from Athletic Bilbao for £57m in January.",TRUE
59,Man Utd transfer news: Paul Pogba holds secret meeting with Barcelona director in LA,"Manchester United midfielder Pogba has endured two mixed years at Old Trafford since his arrival from Juventus. The player is currently on holiday in the United States after winning the World Cup with France. But his stint at United may be coming to a close after fresh revelations emerged in the Italian media today. According to newspaper Tuttosport, Pogba met with Barca's new technical director Abidal in Beverly Hills. The France star is supposedly on Barcelona's summer wish list - although a move before Spain's August 31 transfer deadline may prove unlikely. United manager Jose Mourinho has endured a fractious relationship with Pogba over their two seasons together at Manchester United . Things came to a head midway through last season when the Portuguese boss dropped the former world's most expensive player from his starting XI. Juventus emerged as suitors of Pogba this summer but the £105m signing of Cristiano Ronaldo from Real Madrid meant they could not also afford another superstar deal. Tuttosport was the newspaper that broke the Ronaldo story towards the start of July - but equally they claimed Lionel Messi could be heading to Inter Milan! Today's report says Abidal and Pogba met not at a luxury hotel but in a private villa at the request of Barcelona - adding a sense of mystery to the meeting. The Barca director - new to the role this summer - is supposedly wary of being seen with a player contracted to another club. He has already overseen the capture of Malcom from Bordeaux - a deal that almost didn't take place after Roma initially agreed a fee with the Ligue 1 club and led to Barcelona hastily making a counter offer. As for United, their pre-season tour of the USA ended last night as they beat Real Madrid 2-1 in Miami. They will now head to Germany for a final friendly with Bayern Munich, before preparing for the start of the Premier League season, with Pogba due to join the squad.",FALSE
60,Pavón: Boca to raise Barça target's clause to €42.5m,"Boca Juniors have responded to reported interest from Barcelona in star winger Cristian Pavón by offering the 22-year-old an improved contract at La Bombonera that will include a minimum release clause of 42.5 million euros. Pavón featured for Argentina at the World Cup after becoming a regular for the Albiceleste since Jorge Sampaoli took over and Leo Messi is a big fan of his international teammate, saying after a friendly against Haiti: "" I've found a new partner in Pavón, he's a really good player. He's very quick and is different to what we have in the squad ."" That prompted reports that Messi had asked the Camp Nou board to make inquiries as to Pavón's availability . Last season, he provided the highest number of assists in the Argentinean top flight as Boca were crowned champions. However, Boca chairman Daniel Angelici is not keen on losing Pavón, or certainly not without pocketing a sizeable fee , and has tabled a pay rise for the forward and added an increase to the amount Barça will have to stump up before Angelici will pick up the phone.",FALSE
